,Unnamed: 0,text,text_clean,text_preprocessed
68,68,@FahlianJohan @idextratime Mau gak ngejagain sepakbola pun polisi tetep disalahin citra polisi udh buruk,mau ngejagain sepakbola polisi tetap disalahin citra polisi jelek ,"['mau', 'ngejagain', 'sepakbola', 'polisi', 'tetap', 'disalahin', 'citra', 'polisi', 'jelek']"
69,69,reflek ngmng ' eh biasa aja' PDHAL TU POLISI JUGA GAK DENGER GUEEE 😭😭 https://t.co/n7pvRlyAM6,reflek bicara ' ah biasa aja' padahal polisi tidak denger gueee 😭😭 ,"['reflek', 'bicara', '', 'ah', 'biasa', 'aja', '', 'padahal', 'polisi', 'tidak', 'denger', 'gueee', '']"
70,70,@sisk4eee Mba siska tolong ajarin para polisi biar gak goblok dong,mbak siska ajarin polisi tidak bodoh dong ,"['mbak', 'siska', 'ajarin', 'polisi', 'tidak', 'bodoh', 'dong']"
71,71,"@KompasTV Setelah kedua orang tua meninggal karna kecerobohan p*lisi lantas dihibur dan dijanjikan jadi polisi, itu apa gedenya kagak dendam gitu? Toh paling2 jadi bintara bukan perwira.",kedua orang tua meninggal kecerobohan plisi lantas dihibur dijanjikan jadi polisi apa gedenya dendam toh paling jadi bintara bukan perwira ,"['dua', 'orang', 'tua', 'tinggal', 'ceroboh', 'plisi', 'lantas', 'hibur', 'janji', 'jadi', 'polisi', 'apa', 'gede', 'dendam', 'toh', 'paling', 'jadi', 'bintara', 'bukan', 'perwira']"
72,72,"@janik_diyan Ya kan katanya mah penontonnya anarkis, jadi ya gimana, polisi kan posisinya mengamankan, mau gak mau tembak gas air mata di tribun penuh sesak yg ada anak anaknya🤭🤭🤭 sesama isilop aja dibunuh gimana cuma rakyat jelata, anarkis pulak🤣🤣🤣🤣🤣",iya kan katanya mah penontonnya anarkis jadi iya bagaimana polisi kan posisinya mengamankan mau mau tembak gas air mata tribun penuh sesak ada anak anaknya🤭🤭🤭 sesama isilop dibunuh bagaimana cuma rakyat jelata anarkis pulak🤣🤣🤣🤣🤣 ,"['iya', 'kan', 'kata', 'mah', 'tonton', 'anarkis', 'jadi', 'iya', 'bagaimana', 'polisi', 'kan', 'posisi', 'aman', 'mau', 'mau', 'tembak', 'gas', 'air', 'mata', 'tribun', 'penuh', 'sesak', 'ada', 'anak', 'anak', 'sama', 'isilop', 'bunuh', 'bagaimana', 'cuma', 'rakyat', 'jelata', 'anarkis', 'pulak']"
73,73,"Jangan hanya di cabut jabatan nya, harus di hukum yang sesuai dengan pasal, mengambil keadilan jangan pandang seragam atau kulit. 
https://t.co/SQjPwvMTAy

#UsutTuntasTragediKanjuruhan #UsutTragediKanjuruhan #Arema #polisipembunuh #POLISI #PSSI #PSSIWajibTanggungJawab",jangan di pergi jabatan nya di hukum sesuai pasal mengambil keadilan jangan pandang seragam kulit ,"['jangan', 'di', 'pergi', 'jabat', 'nya', 'di', 'hukum', 'sesuai', 'pasal', 'ambil', 'adil', 'jangan', 'pandang', 'seragam', 'kulit']"
74,74,"@mas_udmuch @VIVAcoid https://t.co/I42OBi4maE…

Ini fakta kok. Ini sudah ditahan",fakta kok sudah ditahan ,"['fakta', 'kok', 'sudah', 'tahan']"
75,75,"Lowongan Kerja PT Garudafood Putra Putri Jaya Tbk
https://t.co/lNAWcXvKnd

Tags
#Sepakat
Damai
#barugajian
#ONEPIECE1062
Aremania
TV 43
Prabowo
Polisi
Kompolnas
77 Tahun
#LowTideinTwilight 
#lowongankerja 
#SEHUN",lowongan kerja pt garudafood putra putri jaya tbk tags damai aremania tv prabowo polisi kompolnas tahun ,"['lowong', 'kerja', 'pt', 'garudafood', 'putra', 'putri', 'jaya', 'tbk', 'tags', 'damai', 'aremania', 'tv', 'prabowo', 'polisi', 'kompolnas', 'tahun']"
76,76,"Cape bgt sama antum2:( 

mana tetangga gw ada yg polisi :(( https://t.co/NHhx6ndXIa",capek sangat sama antum mana tetangga ada polisi ,"['capek', 'sangat', 'sama', 'antum', 'mana', 'tetangga', 'ada', 'polisi']"
77,77,"@IndriNg8 Luar biasa jiwa kesatrianya TNI Indonesia, ga kaya Polisi Polandia 🤐",luar biasa jiwa kesatrianya tni indonesia seperti polisi polandia 🤐 ,"['luar', 'biasa', 'jiwa', 'kesatria', 'tni', 'indonesia', 'seperti', 'polisi', 'polandia', '']"
78,78,@txtdrberseragam Kalau anaknya gak mau jadi polisi gimana ?,kalau anaknya mau jadi polisi bagaimana ,"['kalau', 'anak', 'mau', 'jadi', 'polisi', 'bagaimana']"
79,79,"@DonAdam68 @AremafcOfficial Suporternya norak, polisi nya gbl0k, ya kalo disatukan sudah jelas banyak korban;)",suporternya norak polisi nya gblk iya kalau disatukan jelas banyak korban; ,"['suporter', 'norak', 'polisi', 'nya', 'gblk', 'iya', 'kalau', 'satu', 'jelas', 'banyak', 'korban', '']"
80,80,@Adjimujionowwar polisi memang anjing piaraan cina komunis yang selalu menghalalkan segala cara! Hancurkan!,polisi memang anjing piaraan cina komunis selalu menghalalkan segala cara hancurkan ,"['polisi', 'memang', 'anjing', 'piara', 'cina', 'komunis', 'selalu', 'halal', 'segala', 'cara', 'hancur']"
81,81,dulu masuk polisi pake sawah dan ladang bapak di kampung sekarang masuk polisi pake nyawa bapak ibu https://t.co/erLOXWSB86,dulu masuk polisi pakai sawah ladang bapak kampung sekarang masuk polisi pakai nyawa bapak ibu ,"['dulu', 'masuk', 'polisi', 'pakai', 'sawah', 'ladang', 'bapak', 'kampung', 'sekarang', 'masuk', 'polisi', 'pakai', 'nyawa', 'bapak', 'ibu']"
82,82,"@CNNIndonesia Bela diri..??
Pakai gas air mata yg ditembaki ke arah tribun, disitu banyak penonton yg tdk tau apa-apa..ada juga diantara mereka anak-anak. Gimana kalo anak-anak polisi tsb ada disitu ? Dan ikut jadi korban..
Mikir lah",bela diri pakai gas air mata ditembaki arah tribun disitu banyak penonton tidak tahu apa-apaada diantara anak-anak bagaimana kalau anak-anak polisi tersebut disitu ikut jadi korban mikir lah ,"['bela', 'diri', 'pakai', 'gas', 'air', 'mata', 'tembak', 'arah', 'tribun', 'situ', 'banyak', 'tonton', 'tidak', 'tahu', 'apa-apaada', 'antara', 'anak', 'bagaimana', 'kalau', 'anak', 'polisi', 'sebut', 'situ', 'ikut', 'jadi', 'korban', 'mikir', 'lah']"
83,83,"Binmas Noken Tinjau SPOT Perternakan Babi Milik Bapak Gay Murip 

#indonesia #polriindonesia  #satgasdamaicartenz #OpsDamaiCartenz #Mabespolri #brimobuntukindonesia #Polisi #binmasnokenpolri #bhabinkamtibmas https://t.co/srsdiTMod6",binmas noken tinjau spot perternakan kecewa milik bapak gay murip ,"['binmas', 'noken', 'tinjau', 'spot', 'terna', 'kecewa', 'milik', 'bapak', 'gay', 'murip']"
84,84,@DonAdam68 @AremafcOfficial Ya mau polisi nya mau suporter nya sama sama kampungan dan norak nya,iya mau polisi nya mau suporter nya sama sama kampungan norak nya ,"['iya', 'mau', 'polisi', 'nya', 'mau', 'suporter', 'nya', 'sama', 'sama', 'kampung', 'norak', 'nya']"
85,85,"@IslamIndah99 Kk,knp g lapor polisi..",kkknp lapor polisi ,"['kkknp', 'lapor', 'polisi']"
86,86,"Lo sama aja kayak polisi deh, ngga ada ngerasa bersalahnya dan kelakuan lo itu itu aja. Playing victim abis",kamu sama seperti polisi deh ada ngerasa bersalahnya kelakuan kamu itu playing victim habis ,"['kamu', 'sama', 'seperti', 'polisi', 'deh', 'ada', 'ngerasa', 'salah', 'laku', 'kamu', 'itu', 'playing', 'victim', 'habis']"
87,87,@DivHumas_Polri Dah paling bener mah polisi tidur,paling benar mah polisi tidur ,"['paling', 'benar', 'mah', 'polisi', 'tidur']"
88,88,"Pamen aja blm sok2 an bikin konten viral yg mencoreng institusi, ya langsung di kerangkeng lah https://t.co/5eet6nkN9S",pamen belum sok an membuat konten viral mencoreng institusi iya langsung kerangkeng lah ,"['pamen', 'belum', 'sok', 'an', 'buat', 'konten', 'viral', 'coreng', 'institusi', 'iya', 'langsung', 'kerangkeng', 'lah']"
89,89,"“dek nanti kalo ditanya org gedenya mau jadi apa, bilang aja polisi ya” https://t.co/NIUu5XqjF3",“dek kalau ditanya orang gedenya mau jadi apa katakan polisi ya” ,"['', 'dek', 'kalau', 'tanya', 'orang', 'gede', 'mau', 'jadi', 'apa', 'kata', 'polisi', 'ya', '']"
90,90,@alfiprtma811 @txtdrberseragam Kalo cerdas ya gak jadi Polisi,kalau cerdas iya jadi polisi ,"['kalau', 'cerdas', 'iya', 'jadi', 'polisi']"
91,91,"PEMOTONGAN KUE ULANGTAHUN OLEH KOMANDAN BRIGIF 16 WIRA YUDHA DARI KAPOLRES KEDIRI KOTA

Kediri Kota ""BAIK""
(Beriman-Amanah-Inovatif-Kondusif)

@divisihumaspolri
@HumasPoldaJatim
@polisi_indonesia

#KediriKotaBAIK
#PolriPresisi
#humaspolreskedirikota
#dirgahayutni77 https://t.co/6WghhoCcwu",pemotongan kue ulangtahun komandan brigif wira yudha kapolres kediri kota kediri kota baik beriman-amanah-inovatif-kondusif ,"['potong', 'kue', 'ulangtahun', 'komandan', 'brigif', 'wira', 'yudha', 'kapolres', 'diri', 'kota', 'diri', 'kota', 'baik', 'beriman-amanah-inovatif-kondusif']"
92,92,"@OposisiCerdas POLISI TENGIK MAFIYA BANGSAT BANGSA PEMBUNUH KEZZI_KEZZAM_SADIS LAKNATUULLOH JAHHANAM 
POLISI TENGIK PENGHIYANAT RAKYAT_INDONESIA, 
POLISI TENGIK MAKAN GAJIH BUTA DARI RAKYAT_INDONESIA 
POLISI TENGIK BANDAR NARKOBA 
POLISI TENGIK BOS JUDIONLEN
POLISI TENGIK PENYJUWAL ORGANMANUSIA",polisi tengik mafiya bangsat bangsa pembunuh kezzikezzamsadis laknatuulloh jahhanam polisi tengik penghiyanat rakyatindonesia polisi tengik makan gajih buta rakyatindonesia polisi tengik bandar narkoba polisi tengik bos judionlen polisi tengik penyjuwal organmanusia ,"['polisi', 'tengik', 'mafiya', 'bangsat', 'bangsa', 'bunuh', 'kezzikezzamsadis', 'laknatuulloh', 'jahhanam', 'polisi', 'tengik', 'penghiyanat', 'rakyatindonesia', 'polisi', 'tengik', 'makan', 'gajih', 'buta', 'rakyatindonesia', 'polisi', 'tengik', 'bandar', 'narkoba', 'polisi', 'tengik', 'bos', 'judionlen', 'polisi', 'tengik', 'penyjuwal', 'organmanusia']"
93,93,@willsarana Tp pidana itu jg bisa meredam dendam sakit hati krn di goblok2an..di tolol2kan.smua brgantung kronologinya..jika di sematkan ke tokoh yg punya pendukung fanatik.pastilah pndukungnya gak terima.lapor polisi gak di respon.selanjutnya apa yg terjadi..hukum rimba bicara.,pidana juga meredam dendam sakit hati goblokandi tololkansmua brgantung kronologinyajika di sematkan tokoh punya pendukung fanatikpastilah pndukungnya terimalapor polisi di responselanjutnya apa terjadihukum rimba bicara ,"['pidana', 'juga', 'redam', 'dendam', 'sakit', 'hati', 'goblokandi', 'tololkansmua', 'brgantung', 'kronologinyajika', 'di', 'semat', 'tokoh', 'punya', 'dukung', 'fanatikpastilah', 'pndukungnya', 'terimalapor', 'polisi', 'di', 'responselanjutnya', 'apa', 'terjadihukum', 'rimba', 'bicara']"
94,94,"Rak komen2 polisi tentara bal balan, cuma menyimak lalu rituit",rak komen polisi tentara bal balan cuma menyimak lalu rituit ,"['rak', 'komen', 'polisi', 'tentara', 'bal', 'balan', 'cuma', 'simak', 'lalu', 'rituit']"
95,95,@maenyaroh @DivHumas_Polri Anjing polisi atau polisi anjing sih ini? 😂,anjing polisi polisi anjing sih 😂 ,"['anjing', 'polisi', 'polisi', 'anjing', 'sih', '']"
96,96,"KAPOLRI WAJIB REFORMASI POLRI.
Enyahkan Polisi Nakal.
#PrayForKanjuruhan 
#PRAYFORAREMANIA 
#UsutTuntasTragediKanjuruhan https://t.co/fnOMjbUJLR https://t.co/NQTj4SDo1y",kapolri wajib reformasi polri enyahkan polisi nakal ,"['kapolri', 'wajib', 'reformasi', 'polri', 'enyah', 'polisi', 'nakal']"
97,97,"@valeeditionz Yuk, jadi polisi tidur.",ayo jadi polisi tidur ,"['ayo', 'jadi', 'polisi', 'tidur']"
98,98,"Bantu Retweet yang KERAS ya Sobat ku.!!
.
.
#SaveAniesBaswedan #DeklarasiAniesPresiden #AgnezMo #PresisiPolisiTerburuk #SepakatDamai Ferdy Sambo BuzzeRp Aremania Kompolnas Jepang Bali 77 TNI Telkomsel PSSI 10 Oktober 1,5 M Mamat Oknum Reza Polisi Presiden FIFA Prabowo PA 212 https://t.co/gT9Ikm9R1H",bantu retweet keras iya sobat ku ferdy sambo buzzerp aremania kompolnas jepang bali tni telkomsel pssi oktober m mamat oknum reza polisi presiden fifa prabowo apa ,"['bantu', 'retweet', 'keras', 'iya', 'sobat', 'ku', 'ferdy', 'sambo', 'buzzerp', 'aremania', 'kompolnas', 'jepang', 'bal', 'tni', 'telkomsel', 'pssi', 'oktober', 'm', 'mamat', 'oknum', 'reza', 'polisi', 'presiden', 'fifa', 'prabowo', 'apa']"
99,99,"Anak yang ditawari jadi polisi, ntar lo gede lo tau siapa yang bunuh orang tua mu,nak.",anak ditawari jadi polisi kamu gede kamu tahu siapa bunuh orang tua munak ,"['anak', 'tawar', 'jadi', 'polisi', 'kamu', 'gede', 'kamu', 'tahu', 'siapa', 'bunuh', 'orang', 'tua', 'munak']"
100,100,"Top polisi guy
+62 812-7648-4189",top polisi guy -- ,"['top', 'polisi', 'guy', '--']"
101,101,"BREAKING NEWS – 31 Anggota Polisi Diperiksa Terkait Tragedi Kanjuruhan, Malang https://t.co/uL7vDT6j6s",breaking news – anggota polisi diperiksa terkait tragedi kanjuruhan malang ,"['breaking', 'news', '', 'anggota', 'polisi', 'periksa', 'kait', 'tragedi', 'kanjuruhan', 'malang']"
102,102,@txtdrberseragam Si adek ke polisi: https://t.co/szoDGNW8mW,si adek polisi ,"['si', 'adek', 'polisi']"
103,103,"@geloraco Braffo TNI guweh seneng kalow 
POLISI TENGIK MAFIYA BANGSAT BANGSA PEMBUNUH KEZZI_KEZZAM_SADIS LAKNATUULLOH ini di tendang dari aparat",braffo tni guweh senang kalow polisi tengik mafiya bangsat bangsa pembunuh kezzikezzamsadis laknatuulloh di tendang aparat ,"['braffo', 'tni', 'guweh', 'senang', 'kalow', 'polisi', 'tengik', 'mafiya', 'bangsat', 'bangsa', 'bunuh', 'kezzikezzamsadis', 'laknatuulloh', 'di', 'tendang', 'aparat']"
104,104,@humaspoldalpg semoga polri tidak mengulur waktu dalam menuntaskan sidang etik terhadap puluhan anggota polisi yang terlibat kasus Duren Tiga. #GelarPelimpahanTahap2 kawal Segera Masuk Sidang,semoga polri mengulur waktu menuntaskan sidang etik puluhan anggota polisi terlibat kasus durian tiga kawal segera masuk sidang ,"['moga', 'polri', 'ulur', 'waktu', 'tuntas', 'sidang', 'etik', 'puluh', 'anggota', 'polisi', 'libat', 'kasus', 'durian', 'tiga', 'kawal', 'segera', 'masuk', 'sidang']"
105,105,@HambaAllah_411 Apa sih yang bisa diharapkan dari polisi yang main tiktok kecuali kegoblokan dan kenarsisan mereka..,apa sih bisa diharapkan polisi main tiktok kegoblokan kenarsisan ,"['apa', 'sih', 'bisa', 'harap', 'polisi', 'main', 'tiktok', 'goblok', 'narsis']"
106,106,@AremaMeme Bawa btol pocari saja. Saya di suruh naruh plastik. Apalagi bawa botol minuman.. Hello #polisi ..,bawa btol pocari saya suruh naruh plastik bawa botol minuman hello ,"['bawa', 'btol', 'pocari', 'saya', 'suruh', 'naruh', 'plastik', 'bawa', 'botol', 'minum', 'hello']"
107,107,"Anjeeeeeng goblog mengayomi naonna atuh ai kieu carana? Jaga, budak aing tong nepi ka boga salaki polisi. Amit-amit sing dijauhkeun. https://t.co/cxKgnwjJjE",anjeeeeeng goblok mengayomi naonna kalau ai kieu carana jaga budak tong nepi kakak boga salaki polisi amit-amit sing dijauhkeun ,"['anjeeeeeng', 'goblok', 'ayom', 'naonna', 'kalau', 'ai', 'kieu', 'carana', 'jaga', 'budak', 'tong', 'nepi', 'kakak', 'boga', 'salak', 'polisi', 'amit', 'sing', 'dijauhkeun']"
108,108,"@msaid_didu @ListyoSigitP @mohmahfudmd Tunggu babi bisa terbang dulu. Kerjaan mereka cuma ngeles. Kalau tim ""independen "" masih berasal dari anggota rejim Jokowi sudah jelas hasilnya: polisi tidak salah.
Lihat saja komentar si Mahfud .
Sementara Listyo Sigit itu tersandera, takut sama bawahannya.",tunggu kecewa terbang dulu kerjaan cuma berkilah kalau tim independen masuk berasal anggota rejim jokowi jelas hasilnya polisi salah lihat komentar si mahfud listyo sigit tersandera takut sama bawahannya ,"['tunggu', 'kecewa', 'terbang', 'dulu', 'kerja', 'cuma', 'kilah', 'kalau', 'tim', 'independen', 'masuk', 'asal', 'anggota', 'rejim', 'jokowi', 'jelas', 'hasil', 'polisi', 'salah', 'lihat', 'komentar', 'si', 'mahfud', 'listyo', 'sigit', 'sandera', 'takut', 'sama', 'bawah']"
109,109,"https://t.co/q11sqNxEQF

Suara perempuan ini viral tak hanya di media sosial tapi juga di WhatsApp Group. Ia ceritakan tentang suporter yang mabuk dan polisi menolong anak tapi dihajar.",suara perempuan viral hanya media sosial juga whatsapp group ceritakan suporter mabuk polisi menolong anak dihajar ,"['suara', 'perempuan', 'viral', 'hanya', 'media', 'sosial', 'juga', 'whatsapp', 'group', 'cerita', 'suporter', 'mabuk', 'polisi', 'tolong', 'anak', 'hajar']"
110,110,"@KompasTV suatu saat dia akan mengerti betapa mahalnya harga untuk menjadi polisi, harus kehilangan orang tua dulu ditangan polisi 🥲",suatu dia mengerti betapa mahalnya harga menjadi polisi kehilangan orang tua dulu ditangan polisi 🥲 ,"['suatu', 'dia', 'erti', 'betapa', 'mahal', 'harga', 'jadi', 'polisi', 'hilang', 'orang', 'tua', 'dulu', 'tang', 'polisi', '']"
111,111,POLISI INDONESIA sedang menjadj Sorotan di dunia.,polisi indonesia sedang menjadj sorotan dunia ,"['polisi', 'indonesia', 'sedang', 'menjadj', 'sorot', 'dunia']"
112,112,Baru tau polisi masuk penjara 🤣😂 https://t.co/zTvfsbmecb,baru tahu polisi masuk penjara 🤣😂 ,"['baru', 'tahu', 'polisi', 'masuk', 'penjara', '']"
113,113,ROBOCOP itu robot Polisi. ROBOKEP itu robot Colisi. #BedaTipis,robocop robot polisi robokep robot colisi ,"['robocop', 'robot', 'polisi', 'robokep', 'robot', 'colisi']"
114,114,@BungkusTukang Polisi kok begitu...,polisi kok ,"['polisi', 'kok']"
115,115,"Viral Anggota Polisi Jilat Kue untuk Perayaan HUT ke-77 TNI, Berujung Ditahan! https://t.co/HbkVeKQwlV",viral anggota polisi jilat kue perayaan hut ke- tni berujung ditahan ,"['viral', 'anggota', 'polisi', 'jilat', 'kue', 'raya', 'hut', 'ke-', 'tni', 'ujung', 'tahan']"
116,116,"@panca66 @ListyoSigitP Setuju saya sama Abang ini... jangan cari celah pembenaran terus pak polisi tuh...emang dari dulu ya ya gitu sekali2 direm lah,manipulasi, merasa benar, merekayasa, negosiasi seperti yg udh2 distop dulu lah...nanti kalo udh aman dan masyarakat lupa ya boleh lah seperti itu pelan2",setuju sama abang jangan mencari celah pembenaran terus pak polisi tuhemang dulu iya iya sekali direm lahmanipulasi merasa benar merekayasa negosiasi yang distop dulu lahnanti kalau aman masyarakat lupa iya lah itu pelan ,"['tuju', 'sama', 'abang', 'jangan', 'cari', 'celah', 'benar', 'terus', 'pak', 'polisi', 'tuhemang', 'dulu', 'iya', 'iya', 'sekali', 'rem', 'lahmanipulasi', 'rasa', 'benar', 'rekayasa', 'negosiasi', 'yang', 'stop', 'dulu', 'lahnanti', 'kalau', 'aman', 'masyarakat', 'lupa', 'iya', 'lah', 'itu', 'pelan']"
